数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2005,3292.16,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2006,3389.83,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2007,3434.12,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2008,2926.79,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2009,4123.99,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2010,3898.09,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2011,3315.7,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2012,2569.73,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2013,3547.96,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2014,3619.44,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2015,3797.2,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2016,3537.82,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2017,4800.06,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2018,4031.05,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2019,4085.647751479308,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2020,4151.506118343226,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2021,4217.364485207116,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2022,4283.222852071034,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2023,4349.081218934924,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,新疆,2024,4414.939585798842,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2005,6456.73,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2006,6632.01,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2007,6919.99,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2008,7775.73,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2009,8133.71,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,新疆,2010,8328.59,公斤/公顷
