数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2005,458.11,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2006,427.93,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2007,487.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2008,329.92,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2009,301.87,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2010,298.47,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2011,279.23,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2012,290.91,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2013,294.05,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2014,291.02,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2015,293.19,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2016,218.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2017,224.55,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2018,217.56,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2019,200.1,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2020,158.97875510204176,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2021,140.41284948979592,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2022,121.84694387755736,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2023,103.28103826531152,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,河北,2024,84.71513265306567,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2005,8.08,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2006,8.12,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2007,8.35,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2008,8.51,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2009,8.65,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2010,8.46,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2011,8.3,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2012,8.48,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2013,8.67,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2014,8.63,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2015,8.33,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2016,8.17,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2017,7.76,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2018,6.15,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2019,5.73,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2020,5.43,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2021,5.27,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2022,5.999067095588202,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2023,5.808832720588214,万吨
农用柴油和农药使用量,农药使用量 (万吨) ,河北,2024,5.618598345588225,万吨
