数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,西藏,2005,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2006,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2007,542.0,个
农村基层组织情况,乡数 (个) ,西藏,2008,542.0,个
农村基层组织情况,乡数 (个) ,西藏,2009,542.0,个
农村基层组织情况,乡数 (个) ,西藏,2010,542.0,个
农村基层组织情况,乡数 (个) ,西藏,2011,542.0,个
农村基层组织情况,乡数 (个) ,西藏,2012,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2013,544.0,个
农村基层组织情况,乡数 (个) ,西藏,2014,544.0,个
农村基层组织情况,乡数 (个) ,西藏,2015,544.0,个
农村基层组织情况,乡数 (个) ,西藏,2016,545.0,个
农村基层组织情况,乡数 (个) ,西藏,2017,545.0,个
农村基层组织情况,乡数 (个) ,西藏,2018,544.0,个
农村基层组织情况,乡数 (个) ,西藏,2019,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2020,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2021,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2022,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2023,543.0,个
农村基层组织情况,乡数 (个) ,西藏,2024,543.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2005,685.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2006,685.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2007,684.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2008,682.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2009,682.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2010,682.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2011,682.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2012,683.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2013,684.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2014,684.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2015,684.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2016,685.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2017,685.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2018,677.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2019,682.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2020,681.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2021,681.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2022,681.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2023,681.0,个
农村基层组织情况,乡镇数 (个) ,西藏,2024,681.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2005,5886.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2006,5831.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2007,5775.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2008,5261.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2009,5261.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2010,5261.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2011,5259.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2012,5259.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2013,5255.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2014,5255.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2015,5257.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2016,5259.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2017,5259.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2018,5266.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2019,5043.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2020,4998.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2021,4952.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2022,4907.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2023,4862.0,个
农村基层组织情况,村民委员会数 (个) ,西藏,2024,4817.0,个
农村基层组织情况,镇数 (个) ,西藏,2005,142.0,个
农村基层组织情况,镇数 (个) ,西藏,2006,142.0,个
农村基层组织情况,镇数 (个) ,西藏,2007,142.0,个
农村基层组织情况,镇数 (个) ,西藏,2008,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2009,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2010,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2011,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2012,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2013,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2014,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2015,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2016,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2017,140.0,个
农村基层组织情况,镇数 (个) ,西藏,2018,138.0,个
农村基层组织情况,镇数 (个) ,西藏,2019,138.0,个
农村基层组织情况,镇数 (个) ,西藏,2020,138.0,个
农村基层组织情况,镇数 (个) ,西藏,2021,138.0,个
农村基层组织情况,镇数 (个) ,西藏,2022,137.0,个
农村基层组织情况,镇数 (个) ,西藏,2023,137.0,个
农村基层组织情况,镇数 (个) ,西藏,2024,137.0,个
