数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,西藏,2005,37.59268707482988,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2006,35.615518707482806,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2007,33.638350340136185,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2008,31.66118197278911,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2009,29.68401360544204,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2010,51.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2011,17.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2012,14.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2013,22.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2014,12.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2015,11.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2016,14.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2017,12.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2018,9.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2019,5.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2020,9.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2021,7.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2022,7.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2023,6.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,西藏,2024,4.2,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2005,102.37673469387846,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2006,97.12367346938844,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2007,91.87061224489844,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2008,86.61755102040843,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2009,81.36448979591842,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2010,63.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2011,57.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2012,49.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2013,151.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2014,17.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2015,55.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2016,45.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2017,29.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2018,23.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2019,11.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2020,16.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2021,19.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2022,16.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2023,19.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,西藏,2024,13.9,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2005,37.62925170068047,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2006,35.93792517006796,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2007,34.2465986394559,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2008,32.55527210884338,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2009,30.863945578231323,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2010,5.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2011,16.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2012,2.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2013,42.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2014,1.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2015,17.45,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2016,33.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2017,17.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2018,7.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2019,1.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2020,4.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2021,8.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2022,1.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2023,4.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,西藏,2024,6.0,亿元
