数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡镇数 (个) ,北京,2024,,个
农村基层组织情况,乡数 (个) ,北京,2024,,个
农村基层组织情况,镇数 (个) ,北京,2024,,个
农村基层组织情况,村民委员会数 (个) ,北京,2024,,个
农村基层组织情况,乡镇数 (个) ,北京,2023,,个
农村基层组织情况,乡数 (个) ,北京,2023,,个
农村基层组织情况,镇数 (个) ,北京,2023,,个
农村基层组织情况,村民委员会数 (个) ,北京,2023,,个
农村基层组织情况,乡镇数 (个) ,北京,2022,,个
农村基层组织情况,乡数 (个) ,北京,2022,,个
农村基层组织情况,镇数 (个) ,北京,2022,,个
农村基层组织情况,村民委员会数 (个) ,北京,2022,,个
农村基层组织情况,乡镇数 (个) ,北京,2021,,个
农村基层组织情况,乡数 (个) ,北京,2021,,个
农村基层组织情况,镇数 (个) ,北京,2021,,个
农村基层组织情况,村民委员会数 (个) ,北京,2021,,个
农村基层组织情况,乡镇数 (个) ,北京,2020,,个
农村基层组织情况,乡数 (个) ,北京,2020,,个
农村基层组织情况,镇数 (个) ,北京,2020,,个
农村基层组织情况,村民委员会数 (个) ,北京,2020,,个
农村基层组织情况,乡镇数 (个) ,北京,2019,,个
农村基层组织情况,乡数 (个) ,北京,2019,,个
农村基层组织情况,镇数 (个) ,北京,2019,,个
农村基层组织情况,村民委员会数 (个) ,北京,2019,,个
农村基层组织情况,乡镇数 (个) ,北京,2018,181,个
农村基层组织情况,乡数 (个) ,北京,2018,38,个
农村基层组织情况,镇数 (个) ,北京,2018,143,个
农村基层组织情况,村民委员会数 (个) ,北京,2018,3915,个
农村基层组织情况,乡镇数 (个) ,北京,2017,181,个
农村基层组织情况,乡数 (个) ,北京,2017,38,个
农村基层组织情况,镇数 (个) ,北京,2017,143,个
农村基层组织情况,村民委员会数 (个) ,北京,2017,3920,个
农村基层组织情况,乡镇数 (个) ,北京,2016,181,个
农村基层组织情况,乡数 (个) ,北京,2016,38,个
农村基层组织情况,镇数 (个) ,北京,2016,143,个
农村基层组织情况,村民委员会数 (个) ,北京,2016,3941,个
农村基层组织情况,乡镇数 (个) ,北京,2015,181,个
农村基层组织情况,乡数 (个) ,北京,2015,38,个
农村基层组织情况,镇数 (个) ,北京,2015,143,个
农村基层组织情况,村民委员会数 (个) ,北京,2015,3936,个
农村基层组织情况,乡镇数 (个) ,北京,2014,182,个
农村基层组织情况,乡数 (个) ,北京,2014,38,个
农村基层组织情况,镇数 (个) ,北京,2014,144,个
农村基层组织情况,村民委员会数 (个) ,北京,2014,3937,个
农村基层组织情况,乡镇数 (个) ,北京,2013,182,个
农村基层组织情况,乡数 (个) ,北京,2013,38,个
农村基层组织情况,镇数 (个) ,北京,2013,144,个
农村基层组织情况,村民委员会数 (个) ,北京,2013,3938,个
农村基层组织情况,乡镇数 (个) ,北京,2012,182,个
农村基层组织情况,乡数 (个) ,北京,2012,38,个
农村基层组织情况,镇数 (个) ,北京,2012,144,个
农村基层组织情况,村民委员会数 (个) ,北京,2012,3940,个
农村基层组织情况,乡镇数 (个) ,北京,2011,182,个
农村基层组织情况,乡数 (个) ,北京,2011,38,个
农村基层组织情况,镇数 (个) ,北京,2011,144,个
农村基层组织情况,村民委员会数 (个) ,北京,2011,3941,个
农村基层组织情况,乡镇数 (个) ,北京,2010,182,个
农村基层组织情况,乡数 (个) ,北京,2010,40,个
农村基层组织情况,镇数 (个) ,北京,2010,142,个
农村基层组织情况,村民委员会数 (个) ,北京,2010,3944,个
农村基层组织情况,乡镇数 (个) ,北京,2009,182,个
农村基层组织情况,乡数 (个) ,北京,2009,40,个
农村基层组织情况,镇数 (个) ,北京,2009,142,个
农村基层组织情况,村民委员会数 (个) ,北京,2009,3950,个
农村基层组织情况,乡镇数 (个) ,北京,2008,182,个
农村基层组织情况,乡数 (个) ,北京,2008,40,个
农村基层组织情况,镇数 (个) ,北京,2008,142,个
农村基层组织情况,村民委员会数 (个) ,北京,2008,3951,个
农村基层组织情况,乡镇数 (个) ,北京,2007,183,个
农村基层组织情况,乡数 (个) ,北京,2007,41,个
农村基层组织情况,镇数 (个) ,北京,2007,142,个
农村基层组织情况,村民委员会数 (个) ,北京,2007,3951,个
农村基层组织情况,乡镇数 (个) ,北京,2006,183,个
农村基层组织情况,乡数 (个) ,北京,2006,41,个
农村基层组织情况,镇数 (个) ,北京,2006,142,个
农村基层组织情况,村民委员会数 (个) ,北京,2006,3956,个
农村基层组织情况,乡镇数 (个) ,北京,2005,184,个
农村基层组织情况,乡数 (个) ,北京,2005,41,个
农村基层组织情况,镇数 (个) ,北京,2005,143,个
农村基层组织情况,村民委员会数 (个) ,北京,2005,3964,个
农村基层组织情况,乡镇数 (个) ,天津,2024,,个
农村基层组织情况,乡数 (个) ,天津,2024,,个
农村基层组织情况,镇数 (个) ,天津,2024,,个
农村基层组织情况,村民委员会数 (个) ,天津,2024,,个
农村基层组织情况,乡镇数 (个) ,天津,2023,,个
农村基层组织情况,乡数 (个) ,天津,2023,,个
农村基层组织情况,镇数 (个) ,天津,2023,,个
农村基层组织情况,村民委员会数 (个) ,天津,2023,,个
农村基层组织情况,乡镇数 (个) ,天津,2022,,个
农村基层组织情况,乡数 (个) ,天津,2022,,个
农村基层组织情况,镇数 (个) ,天津,2022,,个
农村基层组织情况,村民委员会数 (个) ,天津,2022,,个
农村基层组织情况,乡镇数 (个) ,天津,2021,,个
农村基层组织情况,乡数 (个) ,天津,2021,,个
农村基层组织情况,镇数 (个) ,天津,2021,,个
农村基层组织情况,村民委员会数 (个) ,天津,2021,,个
农村基层组织情况,乡镇数 (个) ,天津,2020,,个
农村基层组织情况,乡数 (个) ,天津,2020,,个
农村基层组织情况,镇数 (个) ,天津,2020,,个
农村基层组织情况,村民委员会数 (个) ,天津,2020,,个
农村基层组织情况,乡镇数 (个) ,天津,2019,,个
农村基层组织情况,乡数 (个) ,天津,2019,,个
农村基层组织情况,镇数 (个) ,天津,2019,,个
农村基层组织情况,村民委员会数 (个) ,天津,2019,,个
农村基层组织情况,乡镇数 (个) ,天津,2018,129,个
农村基层组织情况,乡数 (个) ,天津,2018,3,个
农村基层组织情况,镇数 (个) ,天津,2018,126,个
农村基层组织情况,村民委员会数 (个) ,天津,2018,3556,个
农村基层组织情况,乡镇数 (个) ,天津,2017,127,个
农村基层组织情况,乡数 (个) ,天津,2017,3,个
农村基层组织情况,镇数 (个) ,天津,2017,124,个
农村基层组织情况,村民委员会数 (个) ,天津,2017,3680,个
农村基层组织情况,乡镇数 (个) ,天津,2016,127,个
农村基层组织情况,乡数 (个) ,天津,2016,3,个
农村基层组织情况,镇数 (个) ,天津,2016,124,个
农村基层组织情况,村民委员会数 (个) ,天津,2016,3681,个
农村基层组织情况,乡镇数 (个) ,天津,2015,127,个
农村基层组织情况,乡数 (个) ,天津,2015,6,个
农村基层组织情况,镇数 (个) ,天津,2015,121,个
农村基层组织情况,村民委员会数 (个) ,天津,2015,3686,个
农村基层组织情况,乡镇数 (个) ,天津,2014,127,个
农村基层组织情况,乡数 (个) ,天津,2014,6,个
农村基层组织情况,镇数 (个) ,天津,2014,121,个
农村基层组织情况,村民委员会数 (个) ,天津,2014,3698,个
农村基层组织情况,乡镇数 (个) ,天津,2013,127,个
农村基层组织情况,乡数 (个) ,天津,2013,6,个
农村基层组织情况,镇数 (个) ,天津,2013,121,个
农村基层组织情况,村民委员会数 (个) ,天津,2013,3707,个
农村基层组织情况,乡镇数 (个) ,天津,2012,134,个
农村基层组织情况,乡数 (个) ,天津,2012,11,个
农村基层组织情况,镇数 (个) ,天津,2012,123,个
农村基层组织情况,村民委员会数 (个) ,天津,2012,3782,个
农村基层组织情况,乡镇数 (个) ,天津,2011,134,个
农村基层组织情况,乡数 (个) ,天津,2011,11,个
农村基层组织情况,镇数 (个) ,天津,2011,123,个
农村基层组织情况,村民委员会数 (个) ,天津,2011,3784,个
农村基层组织情况,乡镇数 (个) ,天津,2010,135,个
