数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农林牧渔业总产值 (亿元) ,北京,2024,256.05,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2024,139.61,亿元
农林牧渔业总产值及指数,林业总产值 (亿元) ,北京,2024,64.09,亿元
农林牧渔业总产值及指数,牧业总产值 (亿元) ,北京,2024,41.65,亿元
农林牧渔业总产值及指数,渔业总产值 (亿元) ,北京,2024,5.08,亿元
农林牧渔业总产值及指数,农林牧渔业总产值指数 (上年=100) ,北京,2024,101.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2024,103.0,无
农林牧渔业总产值及指数,林业总产值指数 (上年=100) ,北京,2024,97.3,无
农林牧渔业总产值及指数,牧业总产值指数 (上年=100) ,北京,2024,102.7,无
农林牧渔业总产值及指数,渔业总产值指数 (上年=100) ,北京,2024,125.1,无
农林牧渔业总产值及指数,农林牧渔业总产值 (亿元) ,北京,2023,252.62,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2023,135.60,亿元
农林牧渔业总产值及指数,林业总产值 (亿元) ,北京,2023,65.87,亿元
农林牧渔业总产值及指数,牧业总产值 (亿元) ,北京,2023,41.99,亿元
农林牧渔业总产值及指数,渔业总产值 (亿元) ,北京,2023,4.04,亿元
农林牧渔业总产值及指数,农林牧渔业总产值指数 (上年=100) ,北京,2023,95.4,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,北京,2023,104.7,无
农林牧渔业总产值及指数,林业总产值指数 (上年=100) ,北京,2023,76.4,无
农林牧渔业总产值及指数,牧业总产值指数 (上年=100) ,北京,2023,105.8,无
农林牧渔业总产值及指数,渔业总产值指数 (上年=100) ,北京,2023,103.5,无
农林牧渔业总产值及指数,农林牧渔业总产值 (亿元) ,北京,2022,268.18,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,北京,2022,129.77,亿元
农林牧渔业总产值及指数,林业总产值 (亿元) ,北京,2022,86.52,亿元
