数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2005,108.21,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2006,110.62,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2007,115.0,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2008,114.98,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2009,120.48,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2010,120.47,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2011,118.57,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2012,117.61,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2013,114.83,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2014,111.25,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2015,110.16,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2016,106.29,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2017,104.11,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2018,103.58,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2019,103.65,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2020,104.06,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2021,103.84,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2022,103.7,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2023,102.33800653594744,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,上海,2024,101.46475576195373,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2005,48.29,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2006,50.81,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2007,48.14,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2008,43.03,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2009,38.29,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2010,58.84,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2011,51.97,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2012,43.57,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2013,55.71,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2014,46.52,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2015,48.32,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2016,34.54,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2017,47.99,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2018,48.74,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2019,48.32,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2020,48.9,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2021,55.43,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2022,53.15,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2023,49.98382160707416,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,上海,2024,50.1542823610352,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2005,8.88,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2006,8.8,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2007,9.8,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2008,10.16,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2009,17.33,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2010,13.24,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2011,13.58,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2012,19.97,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2013,18.0,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2014,15.64,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2015,13.28,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2016,8.91,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2017,3.09,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2018,1.87,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2019,9.340477599323664,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2020,9.037779374471596,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2021,8.735081149619532,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2022,8.432382924767467,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2023,8.129684699915401,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,上海,2024,7.826986475063336,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2005,403.62,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2006,401.44,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2007,399.22,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2008,396.06,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2009,415.4,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2010,415.58,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2011,420.03,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2012,401.64,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2013,391.3,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2014,369.91,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2015,350.64,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2016,303.78,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2017,284.95,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2018,282.27,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2019,261.39,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2020,255.16,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2021,264.35,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2022,269.17,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2023,273.2,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,上海,2024,234.72853801169185,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2005,29.9,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2006,31.39,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2007,39.54,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2008,45.89,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2009,62.48,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2010,52.73,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2011,62.92,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2012,58.02,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2013,46.55,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2014,46.73,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2015,47.27,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2016,35.64,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2017,21.01,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2018,21.34,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2019,9.99,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2020,7.51,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2021,10.91,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2022,15.36,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2023,13.769561707035791,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,上海,2024,11.446006799003952,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2005,1.3220705877942578,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2006,2.235,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2007,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2008,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2009,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2010,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2011,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2012,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2013,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2014,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2015,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2016,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2017,0.0,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2018,-1.067355769230744,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2019,-1.2935164835164414,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2020,-1.5196771978021957,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2021,-1.745837912087893,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2022,-1.9719986263735905,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2023,-2.1981593406593447,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,上海,2024,-2.424320054945042,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2005,41.17,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2006,43.91,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2007,52.56,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2008,59.31,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2009,84.41,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2010,70.07,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2011,79.88,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2012,81.91,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2013,66.69,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2014,66.71,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2015,62.97,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2016,45.98,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2017,24.55,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2018,23.21,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2019,10.87,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2020,8.03,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2021,11.79,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2022,17.43,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2023,15.19706843521726,千公顷
主要农作物播种面积,夏收粮食播种面积 (千公顷) ,上海,2024,11.817520083369343,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,上海,2005,5.84,千公顷
主要农作物播种面积,大豆播种面积 (千公顷) ,上海,2006,5.87,千公顷
