数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,内蒙古,2005,209.621781689596,个
农村基层组织情况,乡数 (个) ,内蒙古,2006,236.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2007,190.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2008,182.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2009,179.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2010,179.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2011,192.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2012,277.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2013,275.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2014,275.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2015,275.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2016,272.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2017,272.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2018,270.0,个
农村基层组织情况,乡数 (个) ,内蒙古,2019,240.59213863059995,个
农村基层组织情况,乡数 (个) ,内蒙古,2020,238.12823330515585,个
农村基层组织情况,乡数 (个) ,内蒙古,2021,235.66432797971265,个
农村基层组织情况,乡数 (个) ,内蒙古,2022,233.20042265426852,个
农村基层组织情况,乡数 (个) ,内蒙古,2023,230.73651732882445,个
农村基层组织情况,乡数 (个) ,内蒙古,2024,228.27261200338123,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2005,964.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2006,648.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2007,602.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2008,640.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2009,642.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2010,642.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2011,669.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2012,767.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2013,768.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2014,770.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2015,771.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2016,775.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2017,777.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2018,778.0,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2019,775.4940828402378,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2020,781.626627218935,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2021,787.7591715976341,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2022,793.8917159763314,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2023,800.0242603550305,个
农村基层组织情况,乡镇数 (个) ,内蒙古,2024,806.1568047337278,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2005,12129.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2006,11718.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2007,11308.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2008,11271.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2009,11282.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2010,11251.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2011,11362.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2012,11228.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2013,11173.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2014,11192.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2015,11110.0,个
农村基层组织情况,村民委员会数 (个) ,内蒙古,2016,11078.0,个
