数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2005,654.0,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2006,656.3,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2007,671.56,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2008,665.46,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2009,667.56,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2010,680.19,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2011,697.69,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2012,711.57,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2013,739.37,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2014,757.01,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2015,778.82,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2016,800.19,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2017,820.83,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2018,839.71,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2019,840.39,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2020,837.14,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2021,837.27,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2022,833.18,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2023,885.3650057670129,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,吉林,2024,899.6827256723118,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2005,50.56,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2006,43.71,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2007,49.47,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2008,44.36,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2009,38.83,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2010,35.72,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2011,35.41,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2012,32.54,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2013,6.55,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2014,8.81,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2015,10.05,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2016,8.24,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2017,7.35,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2018,15.44,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2019,14.02,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2020,11.91,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2021,10.54,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2022,12.15,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2023,-2.606701268743564,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,吉林,2024,-5.428810174224964,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2005,18.3,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2006,11.64,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2007,28.7,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2008,8.75,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2009,20.86,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2010,12.31,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2011,13.17,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2012,10.95,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2013,0.0,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2014,1.08,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2015,1.34,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2016,1.25,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2017,1.63,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2018,1.23,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2019,-4.278567202028626,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2020,-6.098661876584629,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2021,-7.918756551141087,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2022,-9.73885122569709,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2023,-11.558945900253091,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,吉林,2024,-13.379040574809553,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2005,4954.12,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2006,4815.21,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2007,5035.99,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2008,5077.82,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2009,5091.09,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2010,5258.93,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2011,5297.23,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2012,5431.98,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2013,5632.95,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2014,5890.5,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2015,5997.91,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2016,6063.25,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2017,6086.2,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2018,6080.89,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2019,6117.05,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2020,6150.99,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2021,6187.06,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2022,6226.36,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2023,6292.47,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,吉林,2024,6598.213732943463,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,吉林,2005,0.0,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,吉林,2006,0.0,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,吉林,2007,0.0,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,吉林,2008,0.0,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,吉林,2009,0.0,千公顷
