数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2005,15.32,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2006,15.48,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2007,15.65,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2008,16.09,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2009,16.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2010,17.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2011,15.93,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2012,15.99,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2013,15.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2014,15.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2015,15.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2016,14.89,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2017,14.03,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2018,2.2,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2019,2.1,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2020,7.935387755102056,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2021,7.196561224489869,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2022,6.457734693877683,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2023,5.718908163265269,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,天津,2024,4.980081632653082,万吨
