数据集名称,指标名称,地区,年份,数值,单位
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2005,6061.47,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2006,6536.15,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2007,7737.0,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2008,9364.56,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2009,12232.32,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2010,14052.51,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2011,15243.52,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2012,15281.74,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2013,16627.27,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2014,15281.26,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2015,15641.55,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2016,15136.78,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2017,15087.33,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2018,14975.22,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2019,15600.41,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2020,16388.24,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2021,17958.36,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2022,19455.545615808805,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2023,20119.196501225462,吨
农用塑料薄膜使用量,农用塑料薄膜使用量 (吨) ,宁夏,2024,20782.847386642126,吨
