数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,山西,2005,717.0,个
农村基层组织情况,乡数 (个) ,山西,2006,724.0,个
农村基层组织情况,乡数 (个) ,山西,2007,732.0,个
农村基层组织情况,乡数 (个) ,山西,2008,633.0,个
农村基层组织情况,乡数 (个) ,山西,2009,633.0,个
农村基层组织情况,乡数 (个) ,山西,2010,633.0,个
农村基层组织情况,乡数 (个) ,山西,2011,632.0,个
农村基层组织情况,乡数 (个) ,山西,2012,632.0,个
农村基层组织情况,乡数 (个) ,山西,2013,632.0,个
农村基层组织情况,乡数 (个) ,山西,2014,632.0,个
农村基层组织情况,乡数 (个) ,山西,2015,632.0,个
农村基层组织情况,乡数 (个) ,山西,2016,632.0,个
农村基层组织情况,乡数 (个) ,山西,2017,632.0,个
农村基层组织情况,乡数 (个) ,山西,2018,632.0,个
农村基层组织情况,乡数 (个) ,山西,2019,598.1775147928984,个
农村基层组织情况,乡数 (个) ,山西,2020,591.0011834319521,个
农村基层组织情况,乡数 (个) ,山西,2021,583.8248520710058,个
农村基层组织情况,乡数 (个) ,山西,2022,576.6485207100595,个
农村基层组织情况,乡数 (个) ,山西,2023,569.4721893491114,个
农村基层组织情况,乡数 (个) ,山西,2024,562.2958579881652,个
农村基层组织情况,乡镇数 (个) ,山西,2005,1192.0,个
农村基层组织情况,乡镇数 (个) ,山西,2006,1201.0,个
农村基层组织情况,乡镇数 (个) ,山西,2007,1198.5,个
农村基层组织情况,乡镇数 (个) ,山西,2008,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2009,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2010,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2011,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2012,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2013,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2014,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2015,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2016,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2017,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2018,1196.0,个
农村基层组织情况,乡镇数 (个) ,山西,2019,1194.6048182586644,个
农村基层组织情况,乡镇数 (个) ,山西,2020,1194.2568892645816,个
农村基层组织情况,乡镇数 (个) ,山西,2021,1193.9089602704987,个
农村基层组织情况,乡镇数 (个) ,山西,2022,1193.561031276416,个
农村基层组织情况,乡镇数 (个) ,山西,2023,1193.213102282333,个
农村基层组织情况,乡镇数 (个) ,山西,2024,1192.8651732882502,个
农村基层组织情况,村民委员会数 (个) ,山西,2005,28323.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2006,28301.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2007,28280.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2008,27952.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2009,28135.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2010,28120.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2011,28110.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2012,28127.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2013,28273.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2014,28072.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2015,28087.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2016,28106.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2017,27881.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2018,26623.0,个
农村基层组织情况,村民委员会数 (个) ,山西,2019,27545.37193575656,个
农村基层组织情况,村民委员会数 (个) ,山西,2020,27481.040574809813,个
农村基层组织情况,村民委员会数 (个) ,山西,2021,27416.70921386307,个
农村基层组织情况,村民委员会数 (个) ,山西,2022,27352.377852916325,个
农村基层组织情况,村民委员会数 (个) ,山西,2023,27288.04649196958,个
农村基层组织情况,村民委员会数 (个) ,山西,2024,27223.715131022826,个
农村基层组织情况,镇数 (个) ,山西,2005,475.0,个
农村基层组织情况,镇数 (个) ,山西,2006,477.0,个
农村基层组织情况,镇数 (个) ,山西,2007,480.0,个
农村基层组织情况,镇数 (个) ,山西,2008,563.0,个
农村基层组织情况,镇数 (个) ,山西,2009,563.0,个
农村基层组织情况,镇数 (个) ,山西,2010,563.0,个
农村基层组织情况,镇数 (个) ,山西,2011,564.0,个
农村基层组织情况,镇数 (个) ,山西,2012,564.0,个
农村基层组织情况,镇数 (个) ,山西,2013,564.0,个
农村基层组织情况,镇数 (个) ,山西,2014,564.0,个
农村基层组织情况,镇数 (个) ,山西,2015,564.0,个
农村基层组织情况,镇数 (个) ,山西,2016,564.0,个
农村基层组织情况,镇数 (个) ,山西,2017,564.0,个
农村基层组织情况,镇数 (个) ,山西,2018,564.0,个
农村基层组织情况,镇数 (个) ,山西,2019,596.4273034657654,个
农村基层组织情况,镇数 (个) ,山西,2020,603.2557058326292,个
农村基层组织情况,镇数 (个) ,山西,2021,610.0841081994931,个
农村基层组织情况,镇数 (个) ,山西,2022,616.912510566357,个
农村基层组织情况,镇数 (个) ,山西,2023,623.7409129332209,个
农村基层组织情况,镇数 (个) ,山西,2024,630.5693153000848,个
