数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2005,292.38,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2006,304.46,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2007,298.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2008,304.06,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2009,279.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2010,316.4,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2011,341.96,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2012,363.52,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2013,376.19,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2014,381.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2015,359.41,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2016,375.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2017,367.04,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2018,393.72,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2019,389.14,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2020,407.69,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2021,407.82,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2022,420.7,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2023,425.53,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,山西,2024,424.96,公斤
