数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2005,4415.0,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2006,3244.27,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2007,4636.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2008,4588.17,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2009,3946.19,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2010,3715.38,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2011,3705.5,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2012,3472.67,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2013,3496.62,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2014,3367.02,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2015,3370.25,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2016,3619.51,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2017,3655.38,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2018,3424.66,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2019,3231.965638207941,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2020,3161.3993423499637,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2021,3090.833046491985,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2022,3020.2667506339785,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2023,2949.7004547760007,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,广东,2024,2879.134158918023,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2005,4982.24,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2006,5151.0,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2007,5228.37,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2008,5006.32,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2009,5097.27,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,广东,2010,5180.86,公斤/公顷
