数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,广西,2005,432.0,个
农村基层组织情况,乡数 (个) ,广西,2006,427.0,个
农村基层组织情况,乡数 (个) ,广西,2007,424.0,个
农村基层组织情况,乡数 (个) ,广西,2008,424.0,个
农村基层组织情况,乡数 (个) ,广西,2009,424.0,个
农村基层组织情况,乡数 (个) ,广西,2010,424.0,个
农村基层组织情况,乡数 (个) ,广西,2011,424.0,个
农村基层组织情况,乡数 (个) ,广西,2012,411.0,个
农村基层组织情况,乡数 (个) ,广西,2013,405.0,个
农村基层组织情况,乡数 (个) ,广西,2014,350.0,个
农村基层组织情况,乡数 (个) ,广西,2015,350.0,个
农村基层组织情况,乡数 (个) ,广西,2016,330.0,个
农村基层组织情况,乡数 (个) ,广西,2017,319.0,个
农村基层组织情况,乡数 (个) ,广西,2018,312.0,个
农村基层组织情况,乡数 (个) ,广西,2019,308.9095519864786,个
农村基层组织情况,乡数 (个) ,广西,2020,298.13558748943615,个
农村基层组织情况,乡数 (个) ,广西,2021,287.3616229923937,个
农村基层组织情况,乡数 (个) ,广西,2022,276.5876584953512,个
农村基层组织情况,乡数 (个) ,广西,2023,265.8136939983124,个
农村基层组织情况,乡数 (个) ,广西,2024,255.0397295012699,个
农村基层组织情况,乡镇数 (个) ,广西,2005,1130.0,个
农村基层组织情况,乡镇数 (个) ,广西,2006,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2007,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2008,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2009,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2010,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2011,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2012,1126.0,个
农村基层组织情况,乡镇数 (个) ,广西,2013,1127.0,个
农村基层组织情况,乡镇数 (个) ,广西,2014,1123.0,个
农村基层组织情况,乡镇数 (个) ,广西,2015,1123.0,个
农村基层组织情况,乡镇数 (个) ,广西,2016,1118.0,个
农村基层组织情况,乡镇数 (个) ,广西,2017,1118.0,个
农村基层组织情况,乡镇数 (个) ,广西,2018,1118.0,个
农村基层组织情况,乡镇数 (个) ,广西,2019,1118.0190194420964,个
农村基层组织情况,乡镇数 (个) ,广西,2020,1117.1929839391378,个
农村基层组织情况,乡镇数 (个) ,广西,2021,1116.3669484361792,个
农村基层组织情况,乡镇数 (个) ,广西,2022,1115.5409129332206,个
农村基层组织情况,乡镇数 (个) ,广西,2023,1114.714877430262,个
农村基层组织情况,乡镇数 (个) ,广西,2024,1113.8888419273032,个
农村基层组织情况,村民委员会数 (个) ,广西,2005,14453.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2006,14432.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2007,14358.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2008,14353.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2009,14361.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2010,14355.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2011,14355.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2012,14345.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2013,14313.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2014,14291.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2015,14273.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2016,14276.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2017,14258.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2018,14229.0,个
农村基层组织情况,村民委员会数 (个) ,广西,2019,14214.948436179202,个
农村基层组织情况,村民委员会数 (个) ,广西,2020,14199.303465765002,个
农村基层组织情况,村民委员会数 (个) ,广西,2021,14183.658495350805,个
农村基层组织情况,村民委员会数 (个) ,广西,2022,14168.0135249366,个
农村基层组织情况,村民委员会数 (个) ,广西,2023,14152.3685545224,个
农村基层组织情况,村民委员会数 (个) ,广西,2024,14136.723584108197,个
农村基层组织情况,镇数 (个) ,广西,2005,698.0,个
农村基层组织情况,镇数 (个) ,广西,2006,699.0,个
农村基层组织情况,镇数 (个) ,广西,2007,702.0,个
农村基层组织情况,镇数 (个) ,广西,2008,702.0,个
农村基层组织情况,镇数 (个) ,广西,2009,702.0,个
农村基层组织情况,镇数 (个) ,广西,2010,702.0,个
农村基层组织情况,镇数 (个) ,广西,2011,702.0,个
农村基层组织情况,镇数 (个) ,广西,2012,715.0,个
农村基层组织情况,镇数 (个) ,广西,2013,722.0,个
农村基层组织情况,镇数 (个) ,广西,2014,773.0,个
农村基层组织情况,镇数 (个) ,广西,2015,773.0,个
农村基层组织情况,镇数 (个) ,广西,2016,788.0,个
农村基层组织情况,镇数 (个) ,广西,2017,799.0,个
农村基层组织情况,镇数 (个) ,广西,2018,806.0,个
农村基层组织情况,镇数 (个) ,广西,2019,809.1094674556189,个
农村基层组织情况,镇数 (个) ,广西,2020,819.0573964497016,个
农村基层组织情况,镇数 (个) ,广西,2021,829.0053254437844,个
农村基层组织情况,镇数 (个) ,广西,2022,838.9532544378671,个
农村基层组织情况,镇数 (个) ,广西,2023,848.9011834319499,个
农村基层组织情况,镇数 (个) ,广西,2024,858.8491124260327,个
