数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,江西,2005,1433.738197278915,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2006,1380.7755697278917,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2007,1327.812942176868,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2008,1274.8503146258445,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2009,1221.8876870748209,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2010,2075.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2011,1075.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2012,673.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2013,1049.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2014,487.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2015,455.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2016,786.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2017,441.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2018,530.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2019,1200.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2020,943.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2021,421.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2022,1111.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2023,201.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,江西,2024,520.4,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,江西,2005,1787.0296938775573,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2006,1716.0372193877702,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2007,1645.044744897954,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2008,1574.0522704081668,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2009,1503.0597959183797,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2010,2184.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2011,1659.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2012,775.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2013,1160.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2014,634.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2015,628.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2016,805.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2017,665.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2018,621.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2019,1545.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2020,954.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2021,573.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2022,1109.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2023,200.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,江西,2024,508.4,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2005,239.4477891156457,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2006,232.89102891156472,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2007,226.3342687074819,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2008,219.7775085034009,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2009,213.2207482993199,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2010,520.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2011,135.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2012,113.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2013,90.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2014,72.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2015,69.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2016,106.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2017,118.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2018,58.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2019,333.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2020,355.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2021,46.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2022,282.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2023,22.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,江西,2024,86.8,亿元
