数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2005,2111.27,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2006,2293.0,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2007,2331.63,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2008,2343.45,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2009,2384.03,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2010,2427.46,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2011,2461.25,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2012,2489.4,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2013,2462.2,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2014,2420.13,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2015,2360.73,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2016,2136.69,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2017,2072.27,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2018,2009.33,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2019,1908.04,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2020,1813.17,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2021,1773.65,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2022,1767.56,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2023,1794.03,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,浙江,2024,1763.2,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2005,4482.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2006,5075.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2007,6036.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2008,5842.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2009,7412.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2010,8400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2011,9583.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2012,10700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2013,11700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2014,12000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2015,12600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2016,14000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2017,14400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2018,13200.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2019,14468.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2020,15867.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2021,15351.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2022,15839.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2023,16301.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,浙江,2024,16042.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2005,805895.4894912802,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2006,865973.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2007,857746.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2008,869800.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2009,854800.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2010,867300.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2011,881893.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2012,874500.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2013,863300.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2014,840000.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2015,830700.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2016,821400.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2017,920857.9586776868,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2018,936326.7215511762,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2019,951795.4844246656,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2020,967264.247298155,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2021,982733.010171648,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2022,998201.7730451376,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2023,1013670.5359186268,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,浙江,2024,1029139.2987921163,台
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2005,6214.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2006,6738.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2007,7605.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2008,8300.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2009,10700.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2010,12000.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2011,13800.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2012,16100.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2013,17400.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2014,18400.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2015,19900.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2016,22300.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2017,23500.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2018,5700.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2019,8397.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2020,11754.0,部
主要农业机械年末拥有量,大中型拖拉机配套农具 (部) ,浙江,2021,13890.0,部
