数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2005,187.27,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2006,190.23,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2007,193.58,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2008,184.28,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2009,183.28,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2010,191.56,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2011,195.1,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2012,196.2,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2013,198.8,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2014,200.72,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2015,203.24,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2016,203.25,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2017,201.6,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2018,198.8,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2019,190.5,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2020,202.88444217687083,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2021,203.9249141156461,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2022,204.9653860544217,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2023,206.00585799319697,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,浙江,2024,207.04632993197265,万吨
