数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2005,166.83,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2006,155.8,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2007,141.48,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2008,141.13,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2009,137.89,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2010,127.99,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2011,124.0,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2012,118.5,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2013,109.55,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2014,109.69,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2015,105.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2016,101.51,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2017,103.16,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2018,96.3,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2019,93.64,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2020,94.32,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2021,95.46,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2022,94.68,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2023,96.76,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,浙江,2024,97.79,公斤
