数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,海南,2005,20.89400317031896,个
农村基层组织情况,乡数 (个) ,海南,2006,21.0,个
农村基层组织情况,乡数 (个) ,海南,2007,21.0,个
农村基层组织情况,乡数 (个) ,海南,2008,21.0,个
农村基层组织情况,乡数 (个) ,海南,2009,21.0,个
农村基层组织情况,乡数 (个) ,海南,2010,21.0,个
农村基层组织情况,乡数 (个) ,海南,2011,21.0,个
农村基层组织情况,乡数 (个) ,海南,2012,21.0,个
农村基层组织情况,乡数 (个) ,海南,2013,21.0,个
农村基层组织情况,乡数 (个) ,海南,2014,21.0,个
农村基层组织情况,乡数 (个) ,海南,2015,21.0,个
农村基层组织情况,乡数 (个) ,海南,2016,21.0,个
农村基层组织情况,乡数 (个) ,海南,2017,21.0,个
农村基层组织情况,乡数 (个) ,海南,2018,21.0,个
农村基层组织情况,乡数 (个) ,海南,2019,21.159340659340664,个
农村基层组织情况,乡数 (个) ,海南,2020,21.19010989010989,个
农村基层组织情况,乡数 (个) ,海南,2021,21.220879120879125,个
农村基层组织情况,乡数 (个) ,海南,2022,21.25164835164836,个
农村基层组织情况,乡数 (个) ,海南,2023,21.282417582417587,个
农村基层组织情况,乡数 (个) ,海南,2024,21.313186813186817,个
农村基层组织情况,乡镇数 (个) ,海南,2005,200.0,个
农村基层组织情况,乡镇数 (个) ,海南,2006,202.0,个
农村基层组织情况,乡镇数 (个) ,海南,2007,203.0,个
农村基层组织情况,乡镇数 (个) ,海南,2008,204.0,个
农村基层组织情况,乡镇数 (个) ,海南,2009,204.0,个
农村基层组织情况,乡镇数 (个) ,海南,2010,204.0,个
农村基层组织情况,乡镇数 (个) ,海南,2011,204.0,个
农村基层组织情况,乡镇数 (个) ,海南,2012,204.0,个
农村基层组织情况,乡镇数 (个) ,海南,2013,203.0,个
农村基层组织情况,乡镇数 (个) ,海南,2014,197.0,个
农村基层组织情况,乡镇数 (个) ,海南,2015,196.0,个
农村基层组织情况,乡镇数 (个) ,海南,2016,196.0,个
农村基层组织情况,乡镇数 (个) ,海南,2017,196.0,个
农村基层组织情况,乡镇数 (个) ,海南,2018,196.0,个
农村基层组织情况,乡镇数 (个) ,海南,2019,195.76120033812344,个
农村基层组织情况,乡镇数 (个) ,海南,2020,195.11031276415883,个
农村基层组织情况,乡镇数 (个) ,海南,2021,194.45942519019445,个
农村基层组织情况,乡镇数 (个) ,海南,2022,193.80853761622984,个
农村基层组织情况,乡镇数 (个) ,海南,2023,193.15765004226543,个
农村基层组织情况,乡镇数 (个) ,海南,2024,192.50676246830085,个
农村基层组织情况,村民委员会数 (个) ,海南,2005,2615.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2006,2618.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2007,2620.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2008,2554.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2009,2556.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2010,2567.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2011,2567.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2012,2568.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2013,2570.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2014,2561.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2015,2561.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2016,2552.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2017,2562.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2018,2558.0,个
农村基层组织情况,村民委员会数 (个) ,海南,2019,2540.038461538461,个
农村基层组织情况,村民委员会数 (个) ,海南,2020,2535.576923076922,个
农村基层组织情况,村民委员会数 (个) ,海南,2021,2531.1153846153848,个
农村基层组织情况,村民委员会数 (个) ,海南,2022,2526.6538461538457,个
农村基层组织情况,村民委员会数 (个) ,海南,2023,2522.1923076923067,个
农村基层组织情况,村民委员会数 (个) ,海南,2024,2517.730769230769,个
农村基层组织情况,镇数 (个) ,海南,2005,180.0,个
农村基层组织情况,镇数 (个) ,海南,2006,181.0,个
农村基层组织情况,镇数 (个) ,海南,2007,182.0,个
农村基层组织情况,镇数 (个) ,海南,2008,183.0,个
农村基层组织情况,镇数 (个) ,海南,2009,183.0,个
农村基层组织情况,镇数 (个) ,海南,2010,183.0,个
农村基层组织情况,镇数 (个) ,海南,2011,183.0,个
农村基层组织情况,镇数 (个) ,海南,2012,183.0,个
农村基层组织情况,镇数 (个) ,海南,2013,182.0,个
农村基层组织情况,镇数 (个) ,海南,2014,176.0,个
农村基层组织情况,镇数 (个) ,海南,2015,175.0,个
农村基层组织情况,镇数 (个) ,海南,2016,175.0,个
农村基层组织情况,镇数 (个) ,海南,2017,175.0,个
农村基层组织情况,镇数 (个) ,海南,2018,175.0,个
农村基层组织情况,镇数 (个) ,海南,2019,174.60185967878283,个
农村基层组织情况,镇数 (个) ,海南,2020,173.92020287404898,个
农村基层组织情况,镇数 (个) ,海南,2021,173.23854606931536,个
农村基层组织情况,镇数 (个) ,海南,2022,172.5568892645815,个
农村基层组织情况,镇数 (个) ,海南,2023,171.8752324598479,个
农村基层组织情况,镇数 (个) ,海南,2024,171.19357565511405,个
