数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2005,2057.37,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2006,2263.15,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2007,2551.08,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2008,2796.99,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2009,3057.24,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2010,3371.0,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2011,3571.23,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2012,3842.16,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2013,4081.05,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2014,4292.9,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2015,4468.12,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2016,4187.75,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2017,4335.09,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2018,4424.61,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2019,4515.73,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2020,4626.07,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2021,4731.46,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2022,4878.65,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2023,4975.49,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,湖北,2024,5021.46,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2005,76644.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2006,85002.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2007,92952.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2008,104200.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2009,118600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2010,127100.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2011,130774.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2012,138400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2013,149400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,湖北,2014,158500.0,台
