数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2005,932.15,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2006,995.46,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2007,1147.31,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2008,1385.21,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2009,1490.91,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2010,1883.22,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2011,2244.55,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2012,2416.35,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2013,2585.15,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2014,2651.16,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2015,2674.07,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2016,2794.79,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2017,2962.49,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2018,3033.76,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2019,3257.85,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2020,3492.54,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2021,3912.47,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2022,4193.14,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2023,4428.78,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖北,2024,4845.67,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2005,103.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2006,105.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2007,104.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2008,102.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2009,103.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2010,103.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2011,106.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2012,103.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2013,104.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2014,103.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2015,104.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2016,105.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2017,104.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2018,103.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2019,103.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2020,103.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2021,104.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2022,102.7,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2023,103.4,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖北,2024,102.6,无
