数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2005,300.26,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2006,300.105,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2007,299.95,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2008,300.08,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2009,295.36,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2010,286.37,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2011,281.17,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2012,272.31,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2013,265.9,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2014,261.57,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2015,254.75,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2016,247.41,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2017,256.7,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2018,262.71,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2019,256.69,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2020,258.43,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2021,258.1,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2022,252.32,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2023,228.49785659361805,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,福建,2024,223.1828356502556,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2005,151.25,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2006,143.42,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2007,100.77,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2008,80.56,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2009,66.48,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2010,53.85,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2011,44.45,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2012,35.92,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2013,29.14,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2014,23.71,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2015,19.27,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2016,15.58,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2017,15.66,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2018,16.88,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2019,21.1,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2020,22.87,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2021,24.38,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2022,25.62,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2023,-17.99493079584863,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,福建,2024,-25.099134037516706,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2005,4.04,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2006,2.47,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2007,2.68,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2008,2.97,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2009,3.1,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2010,2.91,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2011,2.34,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2012,2.87,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2013,2.85,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2014,2.98,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2015,4.9,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2016,4.56,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2017,4.5,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2018,4.55,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2019,4.458393913778536,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2020,4.598370245139449,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2021,4.738346576500419,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2022,4.878322907861332,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2023,5.018299239222301,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,福建,2024,5.158275570583271,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2005,2481.27,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2006,2236.35,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2007,2202.87,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2008,2132.84,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2009,2075.31,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2010,1945.91,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2011,1878.97,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2012,1761.23,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2013,1740.96,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2014,1670.17,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2015,1617.17,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2016,1548.8,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2017,1549.34,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2018,1577.31,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2019,1599.29,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2020,1631.27,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2021,1651.87,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2022,1682.14,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2023,1712.25,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,福建,2024,1388.7857699805172,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2005,5.88,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2006,4.85,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2007,3.58,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2008,2.81,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2009,1.94,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2010,1.46,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2011,0.9,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2012,0.65,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2013,0.48,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2014,0.38,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2015,0.28,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2016,0.21,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2017,0.2,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2018,0.19,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2019,0.11,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2020,0.08,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2021,0.07,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2022,0.06,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2023,-1.5148423683199326,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,福建,2024,-1.8154105708331367,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,福建,2005,379.41,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,福建,2006,238.91,千公顷
主要农作物播种面积,双季晚稻播种面积 (千公顷) ,福建,2007,334.06,千公顷
