数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,福建,2005,341.0,个
农村基层组织情况,乡数 (个) ,福建,2006,339.0,个
农村基层组织情况,乡数 (个) ,福建,2007,338.0,个
农村基层组织情况,乡数 (个) ,福建,2008,338.0,个
农村基层组织情况,乡数 (个) ,福建,2009,338.0,个
农村基层组织情况,乡数 (个) ,福建,2010,334.0,个
农村基层组织情况,乡数 (个) ,福建,2011,329.0,个
农村基层组织情况,乡数 (个) ,福建,2012,320.0,个
农村基层组织情况,乡数 (个) ,福建,2013,313.0,个
农村基层组织情况,乡数 (个) ,福建,2014,301.0,个
农村基层组织情况,乡数 (个) ,福建,2015,294.0,个
农村基层组织情况,乡数 (个) ,福建,2016,288.0,个
农村基层组织情况,乡数 (个) ,福建,2017,284.0,个
农村基层组织情况,乡数 (个) ,福建,2018,272.0,个
农村基层组织情况,乡数 (个) ,福建,2019,271.6766694843627,个
农村基层组织情况,乡数 (个) ,福建,2020,265.7192730346578,个
农村基层组织情况,乡数 (个) ,福建,2021,259.76187658495473,个
农村基层组织情况,乡数 (个) ,福建,2022,253.80448013524983,个
农村基层组织情况,乡数 (个) ,福建,2023,247.84708368554675,个
农村基层组织情况,乡数 (个) ,福建,2024,241.88968723584185,个
农村基层组织情况,乡镇数 (个) ,福建,2005,934.0,个
农村基层组织情况,乡镇数 (个) ,福建,2006,931.0,个
农村基层组织情况,乡镇数 (个) ,福建,2007,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2008,928.0,个
农村基层组织情况,乡镇数 (个) ,福建,2009,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2010,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2011,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2012,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2013,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2014,929.0,个
农村基层组织情况,乡镇数 (个) ,福建,2015,927.0,个
农村基层组织情况,乡镇数 (个) ,福建,2016,926.0,个
农村基层组织情况,乡镇数 (个) ,福建,2017,926.0,个
农村基层组织情况,乡镇数 (个) ,福建,2018,923.0,个
农村基层组织情况,乡镇数 (个) ,福建,2019,924.3102282333052,个
农村基层组织情况,乡镇数 (个) ,福建,2020,923.7611158072696,个
农村基层组织情况,乡镇数 (个) ,福建,2021,923.212003381234,个
农村基层组织情况,乡镇数 (个) ,福建,2022,922.6628909551988,个
农村基层组织情况,乡镇数 (个) ,福建,2023,922.113778529163,个
农村基层组织情况,乡镇数 (个) ,福建,2024,921.5646661031276,个
农村基层组织情况,村民委员会数 (个) ,福建,2005,14630.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2006,14525.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2007,14420.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2008,14426.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2009,14432.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2010,14432.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2011,14435.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2012,14435.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2013,14441.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2014,14440.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2015,14429.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2016,14407.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2017,14399.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2018,14358.0,个
农村基层组织情况,村民委员会数 (个) ,福建,2019,14316.305579036343,个
农村基层组织情况,村民委员会数 (个) ,福建,2020,14292.260608622142,个
农村基层组织情况,村民委员会数 (个) ,福建,2021,14268.21563820794,个
农村基层组织情况,村民委员会数 (个) ,福建,2022,14244.17066779374,个
农村基层组织情况,村民委员会数 (个) ,福建,2023,14220.12569737954,个
农村基层组织情况,村民委员会数 (个) ,福建,2024,14196.080726965338,个
农村基层组织情况,镇数 (个) ,福建,2005,593.0,个
农村基层组织情况,镇数 (个) ,福建,2006,592.0,个
农村基层组织情况,镇数 (个) ,福建,2007,591.0,个
农村基层组织情况,镇数 (个) ,福建,2008,590.0,个
农村基层组织情况,镇数 (个) ,福建,2009,591.0,个
农村基层组织情况,镇数 (个) ,福建,2010,595.0,个
农村基层组织情况,镇数 (个) ,福建,2011,600.0,个
农村基层组织情况,镇数 (个) ,福建,2012,609.0,个
农村基层组织情况,镇数 (个) ,福建,2013,616.0,个
农村基层组织情况,镇数 (个) ,福建,2014,628.0,个
农村基层组织情况,镇数 (个) ,福建,2015,633.0,个
农村基层组织情况,镇数 (个) ,福建,2016,638.0,个
农村基层组织情况,镇数 (个) ,福建,2017,642.0,个
农村基层组织情况,镇数 (个) ,福建,2018,651.0,个
农村基层组织情况,镇数 (个) ,福建,2019,652.6335587489448,个
农村基层组织情况,镇数 (个) ,福建,2020,658.0418427726127,个
农村基层组织情况,镇数 (个) ,福建,2021,663.4501267962823,个
农村基层组织情况,镇数 (个) ,福建,2022,668.8584108199502,个
农村基层组织情况,镇数 (个) ,福建,2023,674.2666948436181,个
农村基层组织情况,镇数 (个) ,福建,2024,679.6749788672878,个
