数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2005,1918.05,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2006,1995.3,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2007,1941.69,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2008,2042.68,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2009,2142.93,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2010,2248.66,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2011,2399.89,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2012,2526.89,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2013,2631.98,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2014,2730.22,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2015,2813.86,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2016,2168.45,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2017,2215.14,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2018,2243.72,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2019,2353.89,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2020,2471.26,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2021,2552.6,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2022,2657.84,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2023,2823.85,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,辽宁,2024,2940.99,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2005,42777.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2006,45000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2007,67556.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2008,117600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2009,135700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2010,151600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2011,174200.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2012,190600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,辽宁,2013,208000.0,台
