数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2005,414.84,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2006,423.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2007,430.38,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2008,436.4,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2009,372.68,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2010,413.94,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2011,480.44,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2012,495.91,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2013,536.12,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2014,426.64,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2015,498.49,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2016,528.68,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2017,532.92,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2018,509.69,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2019,567.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2020,548.25,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2021,598.48,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2022,589.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2023,611.86,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,辽宁,2024,599.82,公斤
