数据集名称,指标名称,地区,年份,数值,单位
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2005,88.23,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2006,95.09,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2007,101.96,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2008,104.2,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2009,110.03,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2010,121.04,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2011,131.32,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2012,142.49,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2013,113.01,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2014,109.02,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2015,110.24,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2016,118.68,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2017,130.85,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2018,133.6,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2019,137.82,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2020,142.07,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2021,154.29,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2022,156.92,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2023,182.11,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农村用电量 (亿千瓦小时) ,陕西,2024,227.6,亿千瓦时
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2005,147.3,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2006,149.73,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2007,158.81,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2008,165.9,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2009,181.32,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2010,196.79,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2011,207.27,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2012,239.8,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2013,241.73,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2014,230.19,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2015,231.95,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2016,233.05,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2017,232.15,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2018,229.64,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2019,202.52,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2020,201.91,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2021,200.7,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2022,194.16,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2023,193.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用化肥施用折纯量 (万吨) ,陕西,2024,193.71,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2005,42.95,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2006,45.57,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2007,51.48,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2008,55.48,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2009,43.52,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2010,56.43,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2011,76.34,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2012,100.04,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2013,101.26,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2014,91.82,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2015,95.5,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2016,97.09,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2017,99.24,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2018,98.72,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2019,81.63,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2020,81.76,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2021,82.29,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2022,83.75,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2023,86.3,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用复合肥施用折纯量 (万吨) ,陕西,2024,86.95,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2005,76.69,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2006,76.48,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2007,81.08,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2008,81.28,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2009,87.24,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2010,87.67,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2011,91.37,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2012,98.25,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2013,98.69,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2014,96.12,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2015,93.52,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2016,92.2,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2017,90.02,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2018,88.85,万吨
有效灌溉面积农用化肥施用量农村水电站及用电量,农用氮肥施用折纯量 (万吨) ,陕西,2019,80.36,万吨
