数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,上海,2005,3.0,个
农村基层组织情况,乡数 (个) ,上海,2006,3.0,个
农村基层组织情况,乡数 (个) ,上海,2007,3.0,个
农村基层组织情况,乡数 (个) ,上海,2008,3.0,个
农村基层组织情况,乡数 (个) ,上海,2009,2.0,个
农村基层组织情况,乡数 (个) ,上海,2010,2.0,个
农村基层组织情况,乡数 (个) ,上海,2011,2.0,个
农村基层组织情况,乡数 (个) ,上海,2012,2.0,个
农村基层组织情况,乡数 (个) ,上海,2013,2.0,个
农村基层组织情况,乡数 (个) ,上海,2014,2.0,个
农村基层组织情况,乡数 (个) ,上海,2015,2.0,个
农村基层组织情况,乡数 (个) ,上海,2016,2.0,个
农村基层组织情况,乡数 (个) ,上海,2017,2.0,个
农村基层组织情况,乡数 (个) ,上海,2018,2.0,个
农村基层组织情况,乡数 (个) ,上海,2019,1.5756551141166426,个
农村基层组织情况,乡数 (个) ,上海,2020,1.4809805579036208,个
农村基层组织情况,乡数 (个) ,上海,2021,1.386306001690599,个
农村基层组织情况,乡数 (个) ,上海,2022,1.2916314454775772,个
农村基层组织情况,乡数 (个) ,上海,2023,1.1969568892645555,个
农村基层组织情况,乡数 (个) ,上海,2024,1.102282333051562,个
农村基层组织情况,乡镇数 (个) ,上海,2005,103.0,个
农村基层组织情况,乡镇数 (个) ,上海,2006,104.0,个
农村基层组织情况,乡镇数 (个) ,上海,2007,103.0,个
农村基层组织情况,乡镇数 (个) ,上海,2008,112.0,个
农村基层组织情况,乡镇数 (个) ,上海,2009,111.0,个
农村基层组织情况,乡镇数 (个) ,上海,2010,111.0,个
农村基层组织情况,乡镇数 (个) ,上海,2011,110.0,个
农村基层组织情况,乡镇数 (个) ,上海,2012,110.0,个
农村基层组织情况,乡镇数 (个) ,上海,2013,110.0,个
农村基层组织情况,乡镇数 (个) ,上海,2014,109.0,个
农村基层组织情况,乡镇数 (个) ,上海,2015,109.0,个
农村基层组织情况,乡镇数 (个) ,上海,2016,109.0,个
农村基层组织情况,乡镇数 (个) ,上海,2017,109.0,个
农村基层组织情况,乡镇数 (个) ,上海,2018,109.0,个
农村基层组织情况,乡镇数 (个) ,上海,2019,111.21597633136093,个
农村基层组织情况,乡镇数 (个) ,上海,2020,111.57810650887575,个
农村基层组织情况,乡镇数 (个) ,上海,2021,111.94023668639056,个
农村基层组织情况,乡镇数 (个) ,上海,2022,112.30236686390538,个
农村基层组织情况,乡镇数 (个) ,上海,2023,112.66449704142019,个
农村基层组织情况,乡镇数 (个) ,上海,2024,113.02662721893489,个
农村基层组织情况,村民委员会数 (个) ,上海,2005,1875.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2006,1839.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2007,1788.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2008,1781.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2009,1722.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2010,1739.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2011,1702.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2012,1613.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2013,1610.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2014,1605.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2015,1593.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2016,1590.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2017,1585.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2018,1572.0,个
农村基层组织情况,村民委员会数 (个) ,上海,2019,1493.3651732882427,个
农村基层组织情况,村民委员会数 (个) ,上海,2020,1467.5852916314398,个
农村基层组织情况,村民委员会数 (个) ,上海,2021,1441.8054099746369,个
农村基层组织情况,村民委员会数 (个) ,上海,2022,1416.025528317834,个
农村基层组织情况,村民委员会数 (个) ,上海,2023,1390.2456466610238,个
农村基层组织情况,村民委员会数 (个) ,上海,2024,1364.4657650042209,个
农村基层组织情况,镇数 (个) ,上海,2005,100.0,个
农村基层组织情况,镇数 (个) ,上海,2006,101.0,个
农村基层组织情况,镇数 (个) ,上海,2007,100.0,个
农村基层组织情况,镇数 (个) ,上海,2008,109.0,个
农村基层组织情况,镇数 (个) ,上海,2009,109.0,个
农村基层组织情况,镇数 (个) ,上海,2010,109.0,个
农村基层组织情况,镇数 (个) ,上海,2011,108.0,个
农村基层组织情况,镇数 (个) ,上海,2012,108.0,个
农村基层组织情况,镇数 (个) ,上海,2013,108.0,个
农村基层组织情况,镇数 (个) ,上海,2014,107.0,个
农村基层组织情况,镇数 (个) ,上海,2015,107.0,个
农村基层组织情况,镇数 (个) ,上海,2016,107.0,个
农村基层组织情况,镇数 (个) ,上海,2017,107.0,个
农村基层组织情况,镇数 (个) ,上海,2018,107.0,个
农村基层组织情况,镇数 (个) ,上海,2019,109.64032121724415,个
农村基层组织情况,镇数 (个) ,上海,2020,110.09712595097199,个
农村基层组织情况,镇数 (个) ,上海,2021,110.55393068469982,个
农村基层组织情况,镇数 (个) ,上海,2022,111.01073541842766,个
农村基层组织情况,镇数 (个) ,上海,2023,111.4675401521555,个
农村基层组织情况,镇数 (个) ,上海,2024,111.92434488588322,个
