数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,北京,2005,41.0,个
农村基层组织情况,乡数 (个) ,北京,2006,41.0,个
农村基层组织情况,乡数 (个) ,北京,2007,41.0,个
农村基层组织情况,乡数 (个) ,北京,2008,40.0,个
农村基层组织情况,乡数 (个) ,北京,2009,40.0,个
农村基层组织情况,乡数 (个) ,北京,2010,40.0,个
农村基层组织情况,乡数 (个) ,北京,2011,38.0,个
农村基层组织情况,乡数 (个) ,北京,2012,38.0,个
农村基层组织情况,乡数 (个) ,北京,2013,38.0,个
农村基层组织情况,乡数 (个) ,北京,2014,38.0,个
农村基层组织情况,乡数 (个) ,北京,2015,38.0,个
农村基层组织情况,乡数 (个) ,北京,2016,38.0,个
农村基层组织情况,乡数 (个) ,北京,2017,38.0,个
农村基层组织情况,乡数 (个) ,北京,2018,38.0,个
农村基层组织情况,乡数 (个) ,北京,2019,36.78148774302622,个
农村基层组织情况,乡数 (个) ,北京,2020,36.47616229923926,个
农村基层组织情况,乡数 (个) ,北京,2021,36.170836855452194,个
农村基层组织情况,乡数 (个) ,北京,2022,35.86551141166524,个
农村基层组织情况,乡数 (个) ,北京,2023,35.56018596787828,个
农村基层组织情况,乡数 (个) ,北京,2024,35.25486052409133,个
农村基层组织情况,乡镇数 (个) ,北京,2005,184.0,个
农村基层组织情况,乡镇数 (个) ,北京,2006,183.0,个
农村基层组织情况,乡镇数 (个) ,北京,2007,183.0,个
农村基层组织情况,乡镇数 (个) ,北京,2008,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2009,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2010,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2011,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2012,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2013,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2014,182.0,个
农村基层组织情况,乡镇数 (个) ,北京,2015,181.0,个
农村基层组织情况,乡镇数 (个) ,北京,2016,181.0,个
农村基层组织情况,乡镇数 (个) ,北京,2017,181.0,个
农村基层组织情况,乡镇数 (个) ,北京,2018,181.0,个
农村基层组织情况,乡镇数 (个) ,北京,2019,180.4733727810651,个
农村基层组织情况,乡镇数 (个) ,北京,2020,180.2698224852071,个
农村基层组织情况,乡镇数 (个) ,北京,2021,180.0662721893491,个
农村基层组织情况,乡镇数 (个) ,北京,2022,179.86272189349114,个
农村基层组织情况,乡镇数 (个) ,北京,2023,179.65917159763313,个
农村基层组织情况,乡镇数 (个) ,北京,2024,179.45562130177518,个
农村基层组织情况,村民委员会数 (个) ,北京,2005,3964.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2006,3956.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2007,3951.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2008,3951.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2009,3950.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2010,3944.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2011,3941.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2012,3940.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2013,3938.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2014,3937.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2015,3936.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2016,3941.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2017,3920.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2018,3915.0,个
农村基层组织情况,村民委员会数 (个) ,北京,2019,3918.4243448858833,个
农村基层组织情况,村民委员会数 (个) ,北京,2020,3915.3190194420968,个
农村基层组织情况,村民委员会数 (个) ,北京,2021,3912.2136939983093,个
农村基层组织情况,村民委员会数 (个) ,北京,2022,3909.1083685545227,个
农村基层组织情况,村民委员会数 (个) ,北京,2023,3906.0030431107352,个
农村基层组织情况,村民委员会数 (个) ,北京,2024,3902.8977176669487,个
农村基层组织情况,镇数 (个) ,北京,2005,143.0,个
农村基层组织情况,镇数 (个) ,北京,2006,142.0,个
农村基层组织情况,镇数 (个) ,北京,2007,142.0,个
农村基层组织情况,镇数 (个) ,北京,2008,142.0,个
农村基层组织情况,镇数 (个) ,北京,2009,142.0,个
农村基层组织情况,镇数 (个) ,北京,2010,142.0,个
农村基层组织情况,镇数 (个) ,北京,2011,144.0,个
农村基层组织情况,镇数 (个) ,北京,2012,144.0,个
农村基层组织情况,镇数 (个) ,北京,2013,144.0,个
农村基层组织情况,镇数 (个) ,北京,2014,144.0,个
农村基层组织情况,镇数 (个) ,北京,2015,143.0,个
农村基层组织情况,镇数 (个) ,北京,2016,143.0,个
农村基层组织情况,镇数 (个) ,北京,2017,143.0,个
农村基层组织情况,镇数 (个) ,北京,2018,143.0,个
农村基层组织情况,镇数 (个) ,北京,2019,143.69188503803886,个
农村基层组织情况,镇数 (个) ,北京,2020,143.79366018596787,个
农村基层组织情况,镇数 (个) ,北京,2021,143.89543533389687,个
农村基层组织情况,镇数 (个) ,北京,2022,143.99721048182585,个
农村基层组织情况,镇数 (个) ,北京,2023,144.09898562975485,个
农村基层组织情况,镇数 (个) ,北京,2024,144.20076077768383,个
