数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,四川,2005,2789.0,个
农村基层组织情况,乡数 (个) ,四川,2006,2588.0,个
农村基层组织情况,乡数 (个) ,四川,2007,2604.0,个
农村基层组织情况,乡数 (个) ,四川,2008,2588.0,个
农村基层组织情况,乡数 (个) ,四川,2009,2586.0,个
农村基层组织情况,乡数 (个) ,四川,2010,2585.0,个
农村基层组织情况,乡数 (个) ,四川,2011,2579.0,个
农村基层组织情况,乡数 (个) ,四川,2012,2549.0,个
农村基层组织情况,乡数 (个) ,四川,2013,2502.0,个
农村基层组织情况,乡数 (个) ,四川,2014,2382.0,个
农村基层组织情况,乡数 (个) ,四川,2015,2271.0,个
农村基层组织情况,乡数 (个) ,四川,2016,2182.0,个
农村基层组织情况,乡数 (个) ,四川,2017,2064.0,个
农村基层组织情况,乡数 (个) ,四川,2018,2027.0,个
农村基层组织情况,乡数 (个) ,四川,2019,2041.6787827557127,个
农村基层组织情况,乡数 (个) ,四川,2020,1987.2740490279102,个
农村基层组织情况,乡数 (个) ,四川,2021,1932.8693153000931,个
农村基层组织情况,乡数 (个) ,四川,2022,1878.4645815722906,个
农村基层组织情况,乡数 (个) ,四川,2023,1824.0598478444736,个
农村基层组织情况,乡数 (个) ,四川,2024,1769.6551141166565,个
农村基层组织情况,乡镇数 (个) ,四川,2005,4658.0,个
农村基层组织情况,乡镇数 (个) ,四川,2006,4434.0,个
农村基层组织情况,乡镇数 (个) ,四川,2007,4432.0,个
农村基层组织情况,乡镇数 (个) ,四川,2008,4409.0,个
农村基层组织情况,乡镇数 (个) ,四川,2009,4407.0,个
农村基层组织情况,乡镇数 (个) ,四川,2010,4406.0,个
农村基层组织情况,乡镇数 (个) ,四川,2011,4395.0,个
农村基层组织情况,乡镇数 (个) ,四川,2012,4380.0,个
农村基层组织情况,乡镇数 (个) ,四川,2013,4355.0,个
农村基层组织情况,乡镇数 (个) ,四川,2014,4319.0,个
农村基层组织情况,乡镇数 (个) ,四川,2015,4303.0,个
农村基层组织情况,乡镇数 (个) ,四川,2016,4287.0,个
农村基层组织情况,乡镇数 (个) ,四川,2017,4260.0,个
农村基层组织情况,乡镇数 (个) ,四川,2018,4259.0,个
农村基层组织情况,乡镇数 (个) ,四川,2019,4205.673710904484,个
农村基层组织情况,乡镇数 (个) ,四川,2020,4182.58258664413,个
农村基层组织情况,乡镇数 (个) ,四川,2021,4159.491462383776,个
农村基层组织情况,乡镇数 (个) ,四川,2022,4136.4003381234215,个
农村基层组织情况,乡镇数 (个) ,四川,2023,4113.309213863067,个
农村基层组织情况,乡镇数 (个) ,四川,2024,4090.218089602713,个
农村基层组织情况,村民委员会数 (个) ,四川,2005,51198.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2006,50613.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2007,49122.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2008,47906.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2009,47997.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2010,47368.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2011,46613.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2012,46604.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2013,46492.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2014,46318.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2015,46240.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2016,45945.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2017,45683.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2018,45524.0,个
农村基层组织情况,村民委员会数 (个) ,四川,2019,44219.175401521614,个
农村基层组织情况,村民委员会数 (个) ,四川,2020,43794.846407438745,个
农村基层组织情况,村民委员会数 (个) ,四川,2021,43370.517413355876,个
农村基层组织情况,村民委员会数 (个) ,四川,2022,42946.18841927312,个
农村基层组织情况,村民委员会数 (个) ,四川,2023,42521.859425190254,个
农村基层组织情况,村民委员会数 (个) ,四川,2024,42097.530431107385,个
农村基层组织情况,镇数 (个) ,四川,2005,1869.0,个
农村基层组织情况,镇数 (个) ,四川,2006,1846.0,个
农村基层组织情况,镇数 (个) ,四川,2007,1828.0,个
农村基层组织情况,镇数 (个) ,四川,2008,1821.0,个
农村基层组织情况,镇数 (个) ,四川,2009,1821.0,个
农村基层组织情况,镇数 (个) ,四川,2010,1821.0,个
农村基层组织情况,镇数 (个) ,四川,2011,1816.0,个
农村基层组织情况,镇数 (个) ,四川,2012,1831.0,个
农村基层组织情况,镇数 (个) ,四川,2013,1853.0,个
农村基层组织情况,镇数 (个) ,四川,2014,1937.0,个
农村基层组织情况,镇数 (个) ,四川,2015,2032.0,个
农村基层组织情况,镇数 (个) ,四川,2016,2105.0,个
农村基层组织情况,镇数 (个) ,四川,2017,2196.0,个
农村基层组织情况,镇数 (个) ,四川,2018,2232.0,个
农村基层组织情况,镇数 (个) ,四川,2019,2163.9949281487716,个
农村基层组织情况,镇数 (个) ,四川,2020,2195.308537616227,个
农村基层组织情况,镇数 (个) ,四川,2021,2226.6221470836826,个
农村基层组织情况,镇数 (个) ,四川,2022,2257.935756551138,个
农村基层组织情况,镇数 (个) ,四川,2023,2289.2493660185937,个
农村基层组织情况,镇数 (个) ,四川,2024,2320.5629754860493,个
