数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2005,430.1072108843582,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2006,412.9077210884352,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2007,395.7082312925195,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2008,378.50874149660376,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2009,361.30925170068076,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2010,145.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2011,434.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2012,260.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2013,301.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2014,438.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2015,218.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2016,390.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2017,174.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2018,148.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2019,29.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2020,175.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2021,375.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2022,68.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2023,163.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,宁夏,2024,31.5,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2005,284.53095238095193,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2006,271.02559523809396,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2007,257.5202380952396,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2008,244.01488095238165,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2009,230.50952380952367,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2010,182.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2011,181.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2012,144.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2013,188.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2014,220.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2015,131.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2016,186.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2017,227.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2018,42.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2019,14.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2020,93.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2021,132.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2022,28.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2023,50.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,宁夏,2024,13.8,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2005,16.611768707482952,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2006,16.194676870748253,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2007,15.777585034013555,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2008,15.360493197278856,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2009,14.943401360544158,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2010,13.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2011,16.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2012,8.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2013,15.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2014,16.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2015,8.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2016,17.4,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2017,12.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2018,7.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2019,2.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2020,16.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2021,13.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2022,6.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2023,11.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,宁夏,2024,7.1,亿元
