数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,广东,2005,1127.85051020408,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2006,1071.7463010204083,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2007,1015.6420918367367,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2008,959.537882653065,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2009,903.4336734693934,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2010,724.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2011,501.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2012,417.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2013,1134.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2014,842.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2015,846.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2016,630.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2017,282.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2018,547.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2019,144.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2020,84.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2021,76.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2022,194.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2023,217.5,千公顷
自然灾害,农作物受灾面积 (千公顷) ,广东,2024,174.4,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,广东,2005,1490.2212244897964,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2006,1417.1161224489624,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2007,1344.0110204081575,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2008,1270.9059183673526,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2009,1197.8008163265185,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2010,1087.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2011,479.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2012,499.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2013,2464.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2014,742.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2015,848.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2016,618.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2017,326.4,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2018,675.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2019,103.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2020,119.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2021,100.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2022,408.7,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2023,448.6,万人次
自然灾害,自然灾害受灾人口 (万人次) ,广东,2024,272.3,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2005,242.89680272108853,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2006,239.17818027210888,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2007,235.45955782312922,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2008,231.74093537414956,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2009,228.0223129251699,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2010,178.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2011,57.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2012,75.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2013,489.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2014,337.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2015,315.3,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2016,146.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2017,316.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2018,258.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2019,55.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2020,54.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2021,24.1,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2022,182.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2023,170.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,广东,2024,311.4,亿元
