数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,江苏,2005,114.0,个
农村基层组织情况,乡数 (个) ,江苏,2006,55.0,个
农村基层组织情况,乡数 (个) ,江苏,2007,111.0,个
农村基层组织情况,乡数 (个) ,江苏,2008,109.0,个
农村基层组织情况,乡数 (个) ,江苏,2009,107.0,个
农村基层组织情况,乡数 (个) ,江苏,2010,98.0,个
农村基层组织情况,乡数 (个) ,江苏,2011,96.0,个
农村基层组织情况,乡数 (个) ,江苏,2012,96.0,个
农村基层组织情况,乡数 (个) ,江苏,2013,79.0,个
农村基层组织情况,乡数 (个) ,江苏,2014,79.0,个
农村基层组织情况,乡数 (个) ,江苏,2015,72.0,个
农村基层组织情况,乡数 (个) ,江苏,2016,69.0,个
农村基层组织情况,乡数 (个) ,江苏,2017,68.0,个
农村基层组织情况,乡数 (个) ,江苏,2018,44.0,个
农村基层组织情况,乡数 (个) ,江苏,2019,57.0798816568049,个
农村基层组织情况,乡数 (个) ,江苏,2020,53.29053254437895,个
农村基层组织情况,乡数 (个) ,江苏,2021,49.501183431952086,个
农村基层组织情况,乡数 (个) ,江苏,2022,45.71183431952613,个
农村基层组织情况,乡数 (个) ,江苏,2023,41.92248520710018,个
农村基层组织情况,乡数 (个) ,江苏,2024,38.13313609467423,个
农村基层组织情况,乡镇数 (个) ,江苏,2005,1092.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2006,1061.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2007,1011.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2008,1039.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2009,1018.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2010,975.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2011,956.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2012,932.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2013,876.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2014,859.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2015,839.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2016,832.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2017,826.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2018,767.0,个
农村基层组织情况,乡镇数 (个) ,江苏,2019,740.3520710059165,个
农村基层组织情况,乡镇数 (个) ,江苏,2020,714.465680473375,个
农村基层组织情况,乡镇数 (个) ,江苏,2021,688.5792899408261,个
农村基层组织情况,乡镇数 (个) ,江苏,2022,662.6928994082846,个
农村基层组织情况,乡镇数 (个) ,江苏,2023,636.806508875743,个
农村基层组织情况,乡镇数 (个) ,江苏,2024,610.9201183431942,个
农村基层组织情况,村民委员会数 (个) ,江苏,2005,18282.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2006,17605.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2007,17095.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2008,16686.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2009,16393.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2010,15803.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2011,15625.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2012,15173.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2013,14538.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2014,14428.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2015,14486.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2016,14477.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2017,14462.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2018,14410.0,个
农村基层组织情况,村民委员会数 (个) ,江苏,2019,13227.236263736268,个
农村基层组织情况,村民委员会数 (个) ,江苏,2020,12900.743956043967,个
农村基层组织情况,村民委员会数 (个) ,江苏,2021,12574.251648351667,个
农村基层组织情况,村民委员会数 (个) ,江苏,2022,12247.759340659366,个
农村基层组织情况,村民委员会数 (个) ,江苏,2023,11921.267032967065,个
农村基层组织情况,村民委员会数 (个) ,江苏,2024,11594.774725274649,个
农村基层组织情况,镇数 (个) ,江苏,2005,978.0,个
农村基层组织情况,镇数 (个) ,江苏,2006,1006.0,个
农村基层组织情况,镇数 (个) ,江苏,2007,900.0,个
农村基层组织情况,镇数 (个) ,江苏,2008,930.0,个
农村基层组织情况,镇数 (个) ,江苏,2009,911.0,个
农村基层组织情况,镇数 (个) ,江苏,2010,877.0,个
农村基层组织情况,镇数 (个) ,江苏,2011,860.0,个
农村基层组织情况,镇数 (个) ,江苏,2012,836.0,个
农村基层组织情况,镇数 (个) ,江苏,2013,797.0,个
农村基层组织情况,镇数 (个) ,江苏,2014,780.0,个
农村基层组织情况,镇数 (个) ,江苏,2015,767.0,个
农村基层组织情况,镇数 (个) ,江苏,2016,763.0,个
农村基层组织情况,镇数 (个) ,江苏,2017,758.0,个
农村基层组织情况,镇数 (个) ,江苏,2018,723.0,个
农村基层组织情况,镇数 (个) ,江苏,2019,683.272189349118,个
农村基层组织情况,镇数 (个) ,江苏,2020,661.175147928996,个
农村基层组织情况,镇数 (个) ,江苏,2021,639.0781065088813,个
农村基层组织情况,镇数 (个) ,江苏,2022,616.9810650887594,个
农村基层组织情况,镇数 (个) ,江苏,2023,594.8840236686447,个
农村基层组织情况,镇数 (个) ,江苏,2024,572.7869822485227,个
