数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2005,259.13,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2006,172.73,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2007,714.69,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2008,663.49,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2009,576.57,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2010,595.07,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2011,583.0,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2012,998.24,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2013,1463.14,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2014,1160.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2015,1125.18,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2016,1857.88,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2017,1647.51,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2018,1695.81,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2019,1930.1413017751474,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2020,2058.800142011838,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2021,2187.4589822485286,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2022,2316.117822485219,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2023,2444.77666272191,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,河北,2024,2573.4355029585713,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2005,3745.51,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2006,4221.54,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2007,4499.42,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2008,4686.65,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2009,4535.86,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2010,4701.69,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2011,5056.53,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2012,5075.53,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2013,5187.27,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2014,4970.34,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2015,4840.02,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2016,5227.33,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2017,5421.55,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2018,5379.38,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2019,5488.64,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2020,5649.29,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2021,5633.8,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2022,5701.17,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2023,5943.357078046887,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,河北,2024,6042.531975151243,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2005,4164.23,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2006,4433.56,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2007,4671.97,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2008,4829.88,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2009,4776.37,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2010,4845.29,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,河北,2011,5155.14,公斤/公顷
