数据集名称,指标名称,地区,年份,数值,单位
自然灾害,农作物受灾面积 (千公顷) ,河南,2005,1291.401462585036,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2006,1283.2168962585056,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2007,1275.0323299319753,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2008,1266.847763605445,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2009,1258.6631972789146,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2010,1568.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2011,1477.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2012,1388.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2013,1179.9,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2014,1905.2,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2015,225.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2016,519.3,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2017,1247.0,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2018,1167.7,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2019,969.8,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2020,670.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2021,1588.1,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2022,683.4,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2023,1987.6,千公顷
自然灾害,农作物受灾面积 (千公顷) ,河南,2024,1319.8,千公顷
自然灾害,自然灾害受灾人口 (万人次) ,河南,2005,1976.8014625850337,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2006,1945.1418962585012,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2007,1913.4823299319687,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2008,1881.8227636054435,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2009,1850.163197278911,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2010,1843.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2011,2468.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2012,1232.1,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2013,2587.8,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2014,2491.0,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2015,516.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2016,712.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2017,1538.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2018,1332.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2019,1221.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2020,814.5,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2021,2449.2,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2022,799.9,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2023,2464.3,万人次
自然灾害,自然灾害受灾人口 (万人次) ,河南,2024,1481.3,万人次
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2005,-71.02819727890892,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2006,-50.57806972788967,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2007,-30.12794217687042,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2008,-9.677814625843894,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2009,10.772312925175356,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2010,195.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2011,62.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2012,26.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2013,109.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2014,118.7,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2015,44.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2016,124.6,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2017,58.2,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2018,63.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2019,41.9,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2020,35.8,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2021,1322.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2022,46.0,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2023,118.5,亿元
自然灾害,自然灾害直接经济损失 (亿元) ,河南,2024,248.3,亿元
