数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2005,3883.64,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2006,3927.45,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2007,4211.95,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2008,4223.1,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2009,4217.58,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2010,4128.5,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2011,4338.15,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2012,4162.36,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2013,3989.11,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2014,4149.5,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2015,4514.78,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2016,4063.39,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2017,4130.49,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2018,4623.83,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2019,4389.514205409978,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2020,4417.032004226545,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2021,4444.549803043112,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2022,4472.067601859679,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2023,4499.585400676246,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,浙江,2024,4527.103199492813,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2005,5658.42,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2006,6499.63,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2007,6302.84,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2008,6586.33,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2009,6635.2,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2010,6691.09,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2011,6831.61,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2012,6687.52,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2013,6278.24,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2014,6448.44,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2015,6352.11,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2016,6406.02,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2017,6353.87,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2018,6488.68,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2019,6447.04,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2020,6466.2,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2021,6671.64,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2022,6600.28,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2023,6597.126966551328,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,浙江,2024,6610.8294542584845,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,浙江,2005,5392.54,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,浙江,2006,6140.56,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,浙江,2007,5913.81,公斤/公顷
