数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2005,185.34,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2006,194.59,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2007,207.75,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2008,207.04,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2009,205.19,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2010,192.21,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2011,195.59,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2012,201.88,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2013,189.17,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2014,179.88,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2015,170.34,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2016,159.85,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2017,149.88,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2018,150.58,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2019,146.65,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2020,144.96,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2021,143.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2022,143.28,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2023,142.05,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,海南,2024,136.19,公斤
