数据集名称,指标名称,地区,年份,数值,单位
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2005,1282.25,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2006,1230.88,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2007,1281.67,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2008,1295.4,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2009,1426.65,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2010,1420.1,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2011,1552.79,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2012,1547.2,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2013,1655.88,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2014,1650.3,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2015,1812.6,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2016,1920.49,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2017,1991.65,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2018,2034.3,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2019,1977.02,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2020,1998.97,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2021,2019.15,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2022,1995.73,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2023,2220.707837370239,千公顷
主要农作物播种面积,中稻和一季晚稻播种面积 (千公顷) ,湖北,2024,2278.483925514476,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2005,258.57,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2006,261.84,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2007,108.12,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2008,110.5,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2009,118.88,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2010,108.51,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2011,119.58,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2012,124.04,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2013,111.61,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2014,120.37,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2015,118.76,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2016,126.49,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2017,123.72,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2018,132.82,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2019,126.35,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2020,126.31,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2021,120.57,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2022,116.34,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2023,95.04860822760384,千公顷
主要农作物播种面积,其他农作物播种面积 (千公顷) ,湖北,2024,90.82343248548023,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2005,51.76,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2006,45.96,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2007,40.55,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2008,24.49,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2009,21.54,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2010,18.78,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2011,14.41,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2012,11.67,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2013,10.69,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2014,10.94,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2015,11.11,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2016,9.88,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2017,10.6,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2018,10.38,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2019,-3.5252578191048087,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2020,-6.783482671175079,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2021,-10.04170752324626,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2022,-13.29993237531744,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2023,-16.55815722738862,千公顷
主要农作物播种面积,其他谷物播种面积 (千公顷) ,湖北,2024,-19.8163820794598,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2005,7279.42,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2006,6900.59,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2007,6993.07,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2008,7131.55,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2009,7328.5,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2010,7377.94,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2011,7454.98,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2012,7684.4,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2013,7731.26,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2014,7791.42,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2015,7983.43,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2016,7908.5,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2017,7956.14,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2018,7952.9,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2019,7815.89,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2020,7974.39,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2021,8109.24,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2022,8191.92,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2023,8309.25,千公顷
主要农作物播种面积,农作物总播种面积 (千公顷) ,湖北,2024,8407.434970760252,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2005,716.19,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2006,1016.93,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2007,1099.41,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2008,1006.35,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2009,1001.98,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2010,1011.7,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2011,1028.32,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2012,1084.08,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2013,1117.11,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2014,1099.38,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2015,1122.15,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2016,1140.67,千公顷
主要农作物播种面积,冬小麦播种面积 (千公顷) ,湖北,2017,1153.22,千公顷
