数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2005,2047.78,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2006,2132.35,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2007,2233.01,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2008,2282.27,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2009,2237.43,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2010,2309.68,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2011,2322.83,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2012,2511.79,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2013,2513.55,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2014,2746.01,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2015,2626.69,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2016,3000.0,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2017,3131.58,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2018,3060.0,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2019,3164.4605874894187,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2020,3251.579427726101,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2021,3338.6982679627836,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2022,3425.817108199466,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2023,3512.9359484361776,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,湖南,2024,3600.05478867286,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2005,5749.4,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2006,6116.49,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2007,6166.19,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2008,6330.3,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2009,6323.93,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2010,6241.38,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2011,6325.87,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2012,6480.74,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2013,6112.46,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2014,6310.92,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2015,6330.15,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2016,6283.23,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2017,6417.27,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2018,6544.62,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2019,6644.89,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2020,6583.26,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2021,6672.9,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2022,6485.57,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2023,6677.287910419065,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,湖南,2024,6712.794415609387,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2005,5535.9,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2006,5839.31,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,湖南,2007,5944.15,公斤/公顷
