数据集名称,指标名称,地区,年份,数值,单位
农村基层组织情况,乡数 (个) ,湖南,2005,1127.0,个
农村基层组织情况,乡数 (个) ,湖南,2006,1099.0,个
农村基层组织情况,乡数 (个) ,湖南,2007,1071.0,个
农村基层组织情况,乡数 (个) ,湖南,2008,1063.0,个
农村基层组织情况,乡数 (个) ,湖南,2009,1056.0,个
农村基层组织情况,乡数 (个) ,湖南,2010,1052.0,个
农村基层组织情况,乡数 (个) ,湖南,2011,1038.0,个
农村基层组织情况,乡数 (个) ,湖南,2012,952.0,个
农村基层组织情况,乡数 (个) ,湖南,2013,925.0,个
农村基层组织情况,乡数 (个) ,湖南,2014,902.0,个
农村基层组织情况,乡数 (个) ,湖南,2015,417.0,个
农村基层组织情况,乡数 (个) ,湖南,2016,401.0,个
农村基层组织情况,乡数 (个) ,湖南,2017,398.0,个
农村基层组织情况,乡数 (个) ,湖南,2018,392.0,个
农村基层组织情况,乡数 (个) ,湖南,2019,333.7307692307513,个
农村基层组织情况,乡数 (个) ,湖南,2020,264.96153846153175,个
农村基层组织情况,乡数 (个) ,湖南,2021,196.19230769228307,个
农村基层组织情况,乡数 (个) ,湖南,2022,127.42307692306349,个
农村基层组织情况,乡数 (个) ,湖南,2023,58.653846153843915,个
农村基层组织情况,乡数 (个) ,湖南,2024,-10.115384615404764,个
农村基层组织情况,乡镇数 (个) ,湖南,2005,2220.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2006,2193.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2007,2166.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2008,2164.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2009,2162.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2010,2161.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2011,2159.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2012,2083.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2013,2063.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2014,2055.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2015,1536.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2016,1536.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2017,1532.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2018,1530.0,个
农村基层组织情况,乡镇数 (个) ,湖南,2019,1485.51817413354,个
农村基层组织情况,乡镇数 (个) ,湖南,2020,1421.1110735418333,个
农村基层组织情况,乡镇数 (个) ,湖南,2021,1356.703972950112,个
农村基层组织情况,乡镇数 (个) ,湖南,2022,1292.2968723584054,个
农村基层组织情况,乡镇数 (个) ,湖南,2023,1227.8897717666841,个
农村基层组织情况,乡镇数 (个) ,湖南,2024,1163.482671174963,个
农村基层组织情况,村民委员会数 (个) ,湖南,2005,44538.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2006,44203.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2007,43867.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2008,43550.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2009,42928.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2010,42863.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2011,42539.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2012,42018.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2013,41922.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2014,41523.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2015,40448.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2016,23955.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2017,23906.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2018,23897.0,个
农村基层组织情况,村民委员会数 (个) ,湖南,2019,26248.14497041423,个
农村基层组织情况,村民委员会数 (个) ,湖南,2020,24584.497633135878,个
农村基层组织情况,村民委员会数 (个) ,湖南,2021,22920.850295857992,个
农村基层组织情况,村民委员会数 (个) ,湖南,2022,21257.20295857964,个
农村基层组织情况,村民委员会数 (个) ,湖南,2023,19593.555621301755,个
农村基层组织情况,村民委员会数 (个) ,湖南,2024,17929.908284023404,个
农村基层组织情况,镇数 (个) ,湖南,2005,1093.0,个
农村基层组织情况,镇数 (个) ,湖南,2006,1094.0,个
农村基层组织情况,镇数 (个) ,湖南,2007,1095.0,个
农村基层组织情况,镇数 (个) ,湖南,2008,1101.0,个
农村基层组织情况,镇数 (个) ,湖南,2009,1106.0,个
农村基层组织情况,镇数 (个) ,湖南,2010,1109.0,个
农村基层组织情况,镇数 (个) ,湖南,2011,1121.0,个
农村基层组织情况,镇数 (个) ,湖南,2012,1131.0,个
农村基层组织情况,镇数 (个) ,湖南,2013,1138.0,个
农村基层组织情况,镇数 (个) ,湖南,2014,1153.0,个
农村基层组织情况,镇数 (个) ,湖南,2015,1119.0,个
农村基层组织情况,镇数 (个) ,湖南,2016,1135.0,个
农村基层组织情况,镇数 (个) ,湖南,2017,1134.0,个
农村基层组织情况,镇数 (个) ,湖南,2018,1138.0,个
农村基层组织情况,镇数 (个) ,湖南,2019,1151.7874049027896,个
农村基层组织情况,镇数 (个) ,湖南,2020,1156.1495350803043,个
农村基层组织情况,镇数 (个) ,湖南,2021,1160.511665257819,个
农村基层组织情况,镇数 (个) ,湖南,2022,1164.8737954353337,个
农村基层组织情况,镇数 (个) ,湖南,2023,1169.2359256128484,个
农村基层组织情况,镇数 (个) ,湖南,2024,1173.598055790363,个
