数据集名称,指标名称,地区,年份,数值,单位
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2005,947.72,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2006,1040.85,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2007,1210.06,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2008,1370.88,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2009,1472.53,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2010,1848.89,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2011,2089.89,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2012,2255.43,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2013,2257.55,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2014,2324.78,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2015,2325.93,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2016,2485.49,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2017,2597.63,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2018,2664.3,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2019,3052.06,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2020,3364.77,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2021,3532.87,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2022,3973.21,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2023,4141.54,亿元
农林牧渔业总产值及指数,农业总产值 (亿元) ,湖南,2024,4441.92,亿元
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2005,104.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2006,105.5,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2007,104.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2008,102.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2009,105.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2010,104.3,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2011,106.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2012,101.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2013,102.8,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2014,104.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2015,104.4,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2016,103.9,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2017,103.0,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2018,103.2,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2019,103.7,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2020,104.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2021,103.6,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2022,103.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2023,104.1,无
农林牧渔业总产值及指数,农业总产值指数 (上年=100) ,湖南,2024,103.4,无
