数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2005,230.86,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2006,280.14,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2007,329.42,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2008,349.64,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2009,358.44,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2010,378.06,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2011,427.9,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2012,464.95,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2013,517.3,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2014,570.82,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2015,619.69,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2016,635.14,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2017,523.09,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2018,545.78,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2019,559.02,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2020,576.78,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2021,595.9,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2022,624.08,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2023,654.04,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,西藏,2024,698.52,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2005,6658.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2006,8315.5,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2007,9973.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2008,12100.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2009,13100.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2010,25500.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2011,36465.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2012,51400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2013,66400.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2014,88800.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2015,107700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2016,122300.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2017,129100.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2018,67393.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2019,68202.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2020,69733.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2021,71367.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2022,73383.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2023,85352.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,西藏,2024,89019.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2005,2979.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2006,2007.5,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2007,3000.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2008,1200.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2009,1200.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2010,900.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,西藏,2011,900.0,台
