数据集名称,指标名称,地区,年份,数值,单位
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2005,5077.18,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2006,5095.19,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2007,5175.96,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2008,5250.68,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2009,4303.75,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2010,5041.41,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2011,5215.66,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2012,5337.59,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2013,5258.86,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2014,5378.11,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2015,5594.32,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2016,5331.79,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2017,5676.03,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2018,5530.19,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2019,5627.995131022821,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2020,5680.616196111587,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2021,5733.237261200338,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2022,5785.858326289104,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2023,5838.479391377856,公斤/公顷
主要农作物单位面积产量,其他谷物单位面积产量 (公斤/公顷) ,西藏,2024,5891.100456466607,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2005,5256.64,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2006,5381.3,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2007,5463.97,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2008,5569.69,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2009,4852.92,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2010,5359.98,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2011,5508.67,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2012,5553.67,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2013,5465.97,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2014,5553.85,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2015,5625.24,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2016,5511.87,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2017,5738.33,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2018,5652.78,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2019,5624.22,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2020,5642.67,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2021,5692.44,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2022,5573.59,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2023,5741.793164167626,公斤/公顷
主要农作物单位面积产量,秋粮单位面积产量 (公斤/公顷) ,西藏,2024,5767.082503085861,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2005,5256.64,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2006,5381.3,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2007,5463.97,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2008,5569.69,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2009,4852.92,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2010,5359.98,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2011,5508.67,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2012,5553.67,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2013,5465.97,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2014,5553.85,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2015,5625.24,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2016,5511.87,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2017,5738.33,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2018,5652.78,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2019,5624.22,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2020,5642.67,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2021,5692.44,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2022,5573.59,公斤/公顷
主要农作物单位面积产量,粮食单位面积产量 (公斤/公顷) ,西藏,2023,5594.8,公斤/公顷
