数据集名称,指标名称,地区,年份,数值,单位
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2005,2234.04,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2006,2570.6,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2007,2785.3,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2008,3018.36,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2009,3401.27,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2010,3736.29,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2011,4097.84,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2012,4552.93,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2013,4849.28,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2014,5155.52,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2015,5442.29,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2016,5634.27,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2017,5813.76,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2018,6084.65,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2019,6359.08,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2020,6775.09,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2021,6912.13,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2022,7090.88,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2023,7339.57,万千瓦
主要农业机械年末拥有量,农业机械总动力 (万千瓦) ,黑龙江,2024,7559.14,万千瓦
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2005,217275.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2006,323087.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2007,381813.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2008,482000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2009,583000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2010,654700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2011,732100.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2012,808900.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2013,873300.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2014,921600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2015,968000.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2016,1015600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2017,1060600.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2018,551700.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2019,578241.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2020,637291.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2021,666891.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2022,695834.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2023,725492.0,台
主要农业机械年末拥有量,农用大中型拖拉机数量 (台) ,黑龙江,2024,757372.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,黑龙江,2005,57032.0,台
主要农业机械年末拥有量,农用排灌电动机数量 (台) ,黑龙江,2006,62582.0,台
