数据集名称,指标名称,地区,年份,数值,单位
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2005,99.66,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2006,105.2,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2007,104.63,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2008,110.23,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2009,118.64,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2010,127.86,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2011,133.64,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2012,139.22,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2013,140.33,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2014,144.97,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2015,145.02,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2016,145.46,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2017,146.82,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2018,147.42,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2019,137.4,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2020,160.0550340136051,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2021,163.84107993197176,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2022,167.62712585033933,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2023,171.4131717687069,万吨
农用柴油和农药使用量,农用柴油使用量 (万吨) ,黑龙江,2024,175.19921768707445,万吨
